           1        (0.11312694602142251,5.56655451993024603E-002)
           2  (-6.76834282659750930E-003,2.56093876183865997E-002)
           3 (-2.23042778215764407E-012,-2.87817497438936882E-011)
           4      (-3.77361810241447215E-002,-0.14709752972263257)
           5  (-3.25072557298414222E-002,8.40486370828210511E-003)
           6 (-1.34496575934819878E-002,-1.34060061027021383E-002)
           7   (3.30580567128613070E-002,1.09277275205152749E-002)
           8      (-5.34487982062853001E-002,-0.10697976208197087)
           9  (7.85286524126174723E-003,-9.41301748274465900E-004)
          10   (6.99081813348940463E-003,1.41684894296334411E-002)
          11               (1.8580579684695515,6.4518344096465983)
          12               (0.0000000000000000,0.0000000000000000)
          13               (0.0000000000000000,0.0000000000000000)
          14               (0.0000000000000000,0.0000000000000000)



!! different parameters
 	   1   (9.13525240948439843E-002,1.47164759577525332E-002)
           2  (-3.93065228831083052E-002,3.69846317822129442E-002)
           3  (3.66578082768622693E-002,-2.41279975703502063E-002)
           4      (-2.39480251005697621E-002,-0.13747126084773992)
           5  (1.88963442044529431E-002,-8.72485945187818218E-002)
           6  (8.72392875058345015E-003,-3.97471798182447711E-002)
           7  (-2.28103372101090170E-002,4.77577872607468923E-002)
           8  (8.72541163554829691E-002,-5.82556035471415157E-002)
           9  (-2.82069445155184971E-002,2.01969362065296879E-002)
          10  (-6.30584468497424021E-004,1.63667024342735376E-002)
          11              (-5.0920333858541129,3.3502026614283689)
          12               (0.0000000000000000,0.0000000000000000)
          13               (0.0000000000000000,0.0000000000000000)
          14               (0.0000000000000000,0.0000000000000000)


!! changing variables

	   1        (0.10724666010855259,1.18336070702651144E-002)
           2  (-4.10046232119674336E-002,3.64630151006292841E-002)
           3  (3.69741325252829489E-002,-2.35564812500639841E-002)
           4      (-2.64688204640148167E-002,-0.13538011398639946)
           5  (1.98107240268917580E-002,-8.64619094371793656E-002)
           6  (8.76618477511610129E-003,-3.97393784886256735E-002)
           7  (-2.32205915852635759E-002,4.61081367835334752E-002)
           8  (8.86752658419181217E-002,-5.66853283573565403E-002)
           9  (-3.07528209485982106E-002,1.85272172969081078E-002)
          10  (-2.53141058452352626E-004,1.62166446699730342E-002)
          11              (-5.1353674368580862,3.2716452337698998)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)

unchange variables:
	  vpa = 6, nvpa = 48. mu = 6, nmu = 48
           1  (8.45056653815224185E-002,-1.96159706664430404E-003)
           2  (-3.81902597107269121E-002,3.53008236479051621E-002)
           3  (3.67896844186899954E-002,-2.13862460915371123E-002)
           4      (-3.00935322959278335E-002,-0.12191666625164450)
           5  (1.69390032341196241E-002,-8.03901845907356583E-002)
           6  (1.16226376557326903E-002,-4.04458737681619787E-002)
           7  (-1.86637310879568842E-002,4.39041169419475061E-002)
           8  (8.39657875978858798E-002,-5.16772718924818492E-002)
           9  (-2.59020483154484248E-002,2.35513511332253872E-002)
          10  (-4.46298963901533869E-004,1.45940078308787104E-002)
          11              (-5.1097499044094512,2.9702250688132397)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)
          14             (-0.0000000000000000,-0.0000000000000000)

vpa = 3, nvpa = 24, mu = 6, nmu =48
           1  (8.45636315413485912E-002,-1.61657581526207994E-003)
           2  (-3.81984818375301904E-002,3.53147694978393767E-002)
           3  (3.68133416137472469E-002,-2.14077688749775216E-002)
           4      (-3.00355546166368864E-002,-0.12213898408207108)
           5  (1.71188098896344794E-002,-8.04679019611505009E-002)
           6  (1.16546611327508053E-002,-4.03993246998982022E-002)
           7  (-1.87295316324141356E-002,4.39723205400885525E-002)
           8  (8.41724271040739797E-002,-5.17007526671067752E-002)
           9  (-2.60646939231978618E-002,2.33811888648985736E-002)
          10  (-4.77254024487078741E-004,1.46043451511320126E-002)
          11              (-5.1130355410300057,2.9732143490158749)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)
          14             (-0.0000000000000000,-0.0000000000000000)

Rpos changed
           1       (-0.13377815288568212,8.17915024623831893E-002)
           2             (-0.0000000000000000,-0.0000000000000000)
           3  (3.68133416137472469E-002,-2.14077688749775216E-002)
           4      (-2.99973562262021917E-002,-0.12217429885670043)
           5  (2.33216796870705130E-002,-8.07993157790131700E-002)
           6  (1.16608519057346035E-002,-4.03996554409674150E-002)
           7  (-1.87295316324141356E-002,4.39723205400885525E-002)
           8  (8.41724271040739797E-002,-5.17007526671067752E-002)
           9  (-8.72478715536277030E-004,2.93337008881592969E-002)
          10  (-4.52111967725256152E-004,1.46102851091698578E-002)
          11              (-5.1130355410300057,2.9732143490158749)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)
          14             (-0.0000000000000000,-0.0000000000000000)


!! differenct inner product stuff - include maxwellian in def of adjoint variable 
	   1  (9.89110038331517116E-002,-4.98357695256928298E-003)
           2  (-4.06938522333850222E-002,3.54168537651231644E-002)
           3  (3.78086485523392440E-002,-2.13718818528625364E-002)
           4      (-3.10619660002105710E-002,-0.12034840779827687)
           5  (1.89693643659236758E-002,-8.10025665931372180E-002)
           6  (1.18286197587172456E-002,-4.09471082218367186E-002)
           7  (-2.08567581723464006E-002,4.32547187789760756E-002)
           8  (8.71041736704468716E-002,-5.16965241540107145E-002)
           9  (-2.95074091297027816E-002,2.26307143482768099E-002)
          10  (-2.27886119806851485E-004,1.45617581072874439E-002)
          11              (-5.2512728290521808,2.9682296976047238)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)
          14             (-0.0000000000000000,-0.0000000000000000)

!! differenct inner product stuff - include maxwellian in def of adjoint variable + rpos stuff
           1  (9.89110038331517116E-002,-4.98357695256928298E-003)
           2  (-4.06938522333850222E-002,3.54168537651231644E-002)
           3  (3.78086485523392440E-002,-2.13718818528625364E-002)
           4      (-3.10212722358852791E-002,-0.12038382465121408)
           5  (1.89693643659236758E-002,-8.10025665931372180E-002)
           6  (1.18333079028342773E-002,-4.09479998648155652E-002)
           7  (-2.08567581723464006E-002,4.32547187789760756E-002)
           8  (8.71041736704468716E-002,-5.16965241540107145E-002)
           9  (-2.95074091297027816E-002,2.26307143482768099E-002)
          10  (-1.98802922693345867E-004,1.45683635013292446E-002)
          11              (-5.2512728290521808,2.9682296976047238)
